№ таблицы     Время     
vopros1 :     0.5442
vopros2 :     0.0954
vopros3 :     0.0936
vopros4 :     0.0942
vopros5 :     0.0972
vopros6 :     0.084
vopros7 :     0.0972
vopros8 :     0.0936
vopros9 :     0.1686
vopros10 :     0.0192
vopros11 :     0.1128
vopros12 :     0.1596
vopros13 :     0.0948
vopros14 :     0.0846
vopros15 :     0.0936
vopros16 :     0.4026
vopros17 :     0.1026
vopros18 :     0.1032
vopros19 :     0.0942
vopros20 :     0.0972
vopros21 :     0.15
vopros22 :     0.225
vopros23 :     0.0942
vopros24 :     0.09
vopros25 :     0.1128
vopros26 :     0.084
vopros27 :     0.0996
vopros28 :     0.3696
vopros29 :     0.0846
vopros30 :     0.0936
vopros31 :     0.0846
vopros32 :     0.1026
vopros33 :     0.0942
vopros34 :     0.0954
vopros35 :     0.1122
vopros36 :     0.0846
vopros37 :     0.1032
vopros38 :     0.2604
vopros39 :     0.0846
vopros40 :     0.1026
vopros41 :     0.0942
vopros42 :     0.0936
vopros43 :     0.1032
vopros44 :     0.1302
vopros45 :     0.084
vopros46 :     0.0942
vopros47 :     0.1218
vopros48 :     0.3312
vopros49 :     0.0936
vopros50 :     0.1032
vopros51 :     0.1032
vopros52 :     0.1032
vopros53 :     0.1032
vopros54 :     0.132
vopros55 :     0.2718
vopros56 :     0.1032
vopros57 :     0.1032
vopros58 :     0.165
vopros59 :     0.1128
vopros60 :     0.1026
vopros61 :     0.0942
vopros62 :     0.1032
vopros63 :     0.0942
vopros64 :     0.0942
vopros65 :     0.0936
vopros66 :     0.1122
vopros67 :     0.0942
vopros68 :     0.1866
vopros69 :     0.1128
vopros70 :     0.1032
vopros71 :     0.1026
vopros72 :     0.1128
vopros73 :     0.2154
vopros74 :     0.1032
vopros75 :     0.1314
vopros76 :     0.0936
vopros77 :     0.1128
vopros78 :     0.114
vopros79 :     0.1128
vopros80 :     0.102
vopros81 :     0.1146
vopros82 :     0.0936
vopros83 :     0.1128
vopros84 :     0.0996
vopros85 :     0.1692
vopros86 :     0.1122
vopros87 :     0.1218
vopros88 :     0.1182
vopros89 :     0.12
vopros90 :     0.1128
vopros91 :     0.1872
vopros92 :     0.1032
vopros93 :     0.0996
vopros94 :     0.3282
vopros95 :     0.0936
vopros96 :     0.1032
vopros97 :     0.0936
vopros98 :     0.0936
vopros99 :     0.1032
vopros100 :     0.0942
vopros101 :     0.0936
vopros102 :     0.0846
vopros103 :     0.5436
vopros104 :     0.1122
vopros105 :     0.1164
vopros106 :     0.1128
vopros107 :     0.1122
vopros108 :     0.1128
vopros109 :     0.1218
vopros110 :     0.1368
vopros111 :     0.1314
vopros112 :     0.1314
vopros113 :     0.1032
vopros114 :     0.2052
vopros115 :     0.1032
vopros116 :     0.1032
vopros117 :     0.0936
vopros118 :     0.1128
vopros119 :     0.0936
vopros120 :     0.0978
vopros121 :     0.1872
vopros122 :     0.1032
vopros123 :     0.1218
vopros124 :     0.1032
vopros125 :     0.0864
vopros126 :     0.1032
vopros127 :     0.6036
vopros128 :     0.0936
vopros129 :     0.1128
vopros130 :     0.1404
vopros131 :     0.057
vopros132 :     0.1026
vopros133 :     0.1128
vopros134 :     0.1032
vopros135 :     0.0936
vopros136 :     0.3468
vopros137 :     0.1032
vopros138 :     0.1032
vopros139 :     0.1122
vopros140 :     0.2154
vopros141 :     0.1692
vopros142 :     0.1872
vopros143 :     0.1926
vopros144 :     0.3786
vopros145 :     0.1158
vopros146 :     0.123
vopros147 :     0.1404
vopros148 :     0.1218
vopros149 :     0.141
vopros150 :     0.1122
vopros151 :     0.1278
vopros152 :     0.2904
vopros153 :     0.2712
vopros154 :     0.1878
vopros155 :     0.1314
vopros156 :     0.1122
vopros157 :     0.1218
vopros158 :     0.291
vopros159 :     0.0936
vopros160 :     0.1122
vopros161 :     0.1032
vopros162 :     0.1128
vopros163 :     0.3282
vopros164 :     0.5622
vopros165 :     0.1122
vopros166 :     0.1086
vopros167 :     0.0978
vopros168 :     0.1314
vopros169 :     0.1776
vopros170 :     0.1224
vopros171 :     0.087
vopros172 :     0.2436
vopros173 :     0.1032
vopros174 :     0.1218
vopros175 :     0.0996
vopros176 :     0.1122
vopros177 :     0.1032
vopros178 :     0.15
vopros179 :     0.1782
vopros180 :     0.2064
vopros181 :     0.15
vopros182 :     0.1032
vopros183 :     0.1032
vopros184 :     0.15
vopros185 :     0.1686
vopros186 :     0.1128
vopros187 :     0.1308
Общее время: 25.3578
