№ таблицы     Время     
vopros1 :     0.4206
vopros2 :     0.0906
vopros3 :     0.0924
vopros4 :     0.0852
vopros5 :     0.0864
vopros6 :     0.0954
vopros7 :     0.1008
vopros8 :     0.1014
vopros9 :     0.105
vopros10 :     0.1146
vopros11 :     0.0912
vopros12 :     0.2208
vopros13 :     0.096
vopros14 :     0.1056
vopros15 :     0.1152
vopros16 :     0.1062
vopros17 :     0.2154
vopros18 :     0.1296
vopros19 :     0.105
vopros20 :     0.1146
vopros21 :     0.1212
vopros22 :     0.0954
vopros23 :     0.0942
vopros24 :     0.1194
vopros25 :     0.1056
vopros26 :     0.1056
vopros27 :     0.24
vopros28 :     0.1002
vopros29 :     0.1206
vopros30 :     0.105
vopros31 :     0.117
vopros32 :     0.1038
vopros33 :     0.1104
vopros34 :     0.1062
vopros35 :     0.2586
vopros36 :     0.099
vopros37 :     0.0984
vopros38 :     0.105
vopros39 :     0.1008
vopros40 :     0.1104
vopros41 :     0.1146
vopros42 :     0.105
vopros43 :     0.1002
vopros44 :     0.096
vopros45 :     0.0912
vopros46 :     0.1008
vopros47 :     0.0912
vopros48 :     0.1008
vopros49 :     0.0906
vopros50 :     0.0954
vopros51 :     0.1008
vopros52 :     24.1008
vopros53 :     0.192
vopros54 :     0.168
vopros55 :     0.1152
vopros56 :     0.0912
vopros57 :     0.0912
vopros58 :     0.1002
vopros59 :     0.0912
vopros60 :     0.1008
vopros61 :     0.2166
vopros62 :     0.087
vopros63 :     0.0954
vopros64 :     0.0906
vopros65 :     0.1056
vopros66 :     0.0954
vopros67 :     0.105
vopros68 :     0.105
vopros69 :     0.168
vopros70 :     0.096
vopros71 :     0.1008
vopros72 :     0.1008
vopros73 :     0.1098
vopros74 :     0.1146
vopros75 :     0.1152
vopros76 :     0.1194
vopros77 :     0.1056
vopros78 :     0.1254
vopros79 :     0.1242
vopros80 :     0.1296
vopros81 :     0.1104
vopros82 :     0.1146
vopros83 :     0.12
vopros84 :     0.1296
vopros85 :     0.1254
vopros86 :     0.144
vopros87 :     0.1248
vopros88 :     0.1242
vopros89 :     0.1104
vopros90 :     0.1044
vopros91 :     0.096
vopros92 :     0.1056
vopros93 :     0.1104
vopros94 :     0.1152
vopros95 :     0.1152
vopros96 :     0.1146
vopros97 :     0.1164
vopros98 :     0.1134
vopros99 :     0.105
vopros100 :     0.1056
vopros101 :     0.1158
vopros102 :     0.1152
vopros103 :     0.1194
vopros104 :     0.114
vopros105 :     0.1152
vopros106 :     0.111
vopros107 :     0.114
vopros108 :     0.135
vopros109 :     0.1146
vopros110 :     0.1392
vopros111 :     0.1152
vopros112 :     0.126
vopros113 :     0.1044
vopros114 :     0.1152
vopros115 :     0.1188
vopros116 :     0.111
vopros117 :     0.1146
vopros118 :     0.1044
vopros119 :     0.1152
vopros120 :     0.1344
vopros121 :     0.0954
vopros122 :     0.1104
vopros123 :     0.117
vopros124 :     0.1224
vopros125 :     0.12
vopros126 :     0.1206
vopros127 :     0.33
vopros128 :     0.105
vopros129 :     0.1098
vopros130 :     0.1068
vopros131 :     0.1146
vopros132 :     0.1104
vopros133 :     0.1152
vopros134 :     0.1248
vopros135 :     0.12
vopros136 :     0.1338
vopros137 :     0.1152
vopros138 :     0.1242
vopros139 :     0.1296
vopros140 :     0.1194
vopros141 :     0.12
vopros142 :     0.1194
vopros143 :     0.1248
vopros144 :     0.1236
vopros145 :     0.1254
vopros146 :     0.1098
vopros147 :     0.1146
vopros148 :     0.1248
vopros149 :     0.1254
vopros150 :     0.1194
vopros151 :     0.126
vopros152 :     0.1176
vopros153 :     0.1344
vopros154 :     0.1194
vopros155 :     0.1386
vopros156 :     0.1098
vopros157 :     0.1056
vopros158 :     0.114
vopros159 :     0.12
vopros160 :     0.126
vopros161 :     0.1194
vopros162 :     0.1236
vopros163 :     0.129
vopros164 :     0.12
vopros165 :     0.12
vopros166 :     0.12
vopros167 :     0.1152
vopros168 :     0.1152
vopros169 :     0.1242
vopros170 :     0.1104
vopros171 :     0.5286
vopros172 :     0.12
vopros173 :     0.129
vopros174 :     0.9414
vopros175 :     0.1002
vopros176 :     0.1098
vopros177 :     0.1728
vopros178 :     0.1104
vopros179 :     0.1152
vopros180 :     0.111
vopros181 :     0.1008
vopros182 :     0.0906
vopros183 :     1.2186
vopros184 :     0.1104
vopros185 :     0.1914
vopros186 :     0.1014
vopros187 :     0.099
Общее время: 48.204
